County Name,Median Home Price Q4 2023,Monthly Payment Q4 2023,Monthly Payment Q4 2022
"Wright County,  Minnesota","$349,170 ","$2,150 ","$1,970 "
"Twin Falls County,  Idaho","$349,070 ","$2,150 ","$1,980 "
"Broadwater County,  Montana","$348,940 ","$2,150 ","$1,950 "
"Walton County,  Georgia","$348,720 ","$2,150 ","$1,920 "
"Suffolk city,  Virginia","$348,700 ","$2,150 ","$1,910 "
"Addison County,  Vermont","$348,310 ","$2,150 ","$1,810 "
"Isle of Wight County,  Virginia","$348,060 ","$2,150 ","$1,900 "
"Baltimore County,  Maryland","$347,390 ","$2,140 ","$1,910 "
"Tehama County,  California","$346,870 ","$2,140 ","$1,990 "
"Walla Walla County,  Washington","$346,240 ","$2,140 ","$1,930 "
"Lake County,  Colorado","$346,000 ","$2,130 ","$1,920 "
"Kern County,  California","$345,910 ","$2,130 ","$1,920 "
"Anoka County,  Minnesota","$345,770 ","$2,130 ","$1,950 "
"McKenzie County,  North Dakota","$345,480 ","$2,130 ","$1,920 "
"Montgomery County,  Virginia","$345,280 ","$2,130 ","$1,830 "
"New Castle County,  Delaware","$344,620 ","$2,130 ","$1,920 "
"Wallowa County,  Oregon","$343,840 ","$2,120 ","$1,960 "
"Washington County,  Wisconsin","$343,430 ","$2,120 ","$1,830 "
"Lancaster County,  South Carolina","$343,350 ","$2,120 ","$1,880 "
"Burlington County,  New Jersey","$342,960 ","$2,120 ","$1,910 "
"Worcester County,  Maryland","$342,920 ","$2,120 ","$1,800 "
"Park County,  Wyoming","$342,140 ","$2,110 ","$1,910 "
"Custer County,  Colorado","$341,920 ","$2,110 ","$1,900 "
"Matanuska-Susitna Borough,  Alaska","$341,510 ","$2,110 ","$1,910 "
"Shelby County,  Alabama","$341,210 ","$2,110 ","$1,870 "
"Mariposa County,  California","$340,590 ","$2,100 ","$1,950 "
"Burleigh County,  North Dakota","$340,530 ","$2,100 ","$1,890 "
"Orange County,  Virginia","$339,640 ","$2,100 ","$1,840 "
"Berkeley County,  South Carolina","$339,020 ","$2,090 ","$1,760 "
"Rockingham County,  Virginia","$338,930 ","$2,090 ","$1,850 "
"Carteret County,  North Carolina","$338,740 ","$2,090 ","$1,790 "
"Santa Rosa County,  Florida","$338,560 ","$2,090 ","$1,900 "
"Robertson County,  Tennessee","$338,440 ","$2,090 ","$1,900 "
